Class,Accuracy (%)
Sample001,80.0
Sample002,100.0
Sample003,80.0
Sample004,80.0
Sample005,100.0
Sample006,100.0
Sample007,100.0
Sample008,60.0
Sample009,80.0
Sample010,100.0
Sample011,100.0
Sample012,80.0
Sample013,100.0
Sample014,100.0
Sample015,100.0
Sample016,100.0
Sample017,100.0
Sample018,60.0
Sample019,100.0
Sample020,60.0
Sample021,80.0
Sample022,100.0
Sample023,100.0
Sample024,80.0
Sample025,80.0
Sample026,100.0
Sample027,80.0
Sample028,80.0
Sample029,100.0
Sample030,100.0
Sample031,100.0
Sample032,80.0
Sample033,100.0
Sample034,60.0
Sample035,60.0
Sample036,100.0
Sample037,100.0
Sample038,40.0
Sample039,100.0
Sample040,80.0
Sample041,100.0
Sample042,80.0
Sample043,100.0
Sample044,100.0
Sample045,40.0
Sample046,100.0
Sample047,80.0
Sample048,100.0
Sample049,100.0
Sample050,80.0
Sample051,100.0
Sample052,80.0
Sample053,100.0
Sample054,100.0
Sample055,100.0
Sample056,100.0
Sample057,80.0
Sample058,100.0
Sample059,100.0
Sample060,100.0
Sample061,100.0
Sample062,100.0
Sample063,80.0
Sample064,100.0
Sample065,100.0
Sample066,100.0
Sample067,100.0
Sample068,60.0
Sample069,60.0
Sample070,80.0
Sample071,100.0
Sample072,80.0
Sample073,80.0
Sample074,100.0
Sample075,100.0
Sample076,80.0
Sample077,100.0
Sample078,100.0
Sample079,80.0
Sample080,100.0
Sample081,100.0
Sample082,100.0
Sample083,80.0
Sample084,80.0
Sample085,80.0
Sample086,100.0
Sample087,80.0
Sample088,100.0
Sample089,60.0
Sample090,100.0
Sample091,100.0
Sample092,100.0
Sample093,100.0
Sample094,80.0
Sample095,100.0
Sample096,80.0
Sample097,100.0
Sample098,100.0
Sample099,100.0
Sample100,100.0
Sample101,100.0
Sample102,40.0
Sample103,100.0
Sample104,80.0
Sample105,100.0
Sample106,80.0
Sample107,80.0
Sample108,80.0
Sample109,80.0
Sample110,80.0
Sample111,80.0
Sample112,80.0
Sample113,80.0
Sample114,80.0
Sample115,80.0
Sample116,80.0
Sample117,100.0
Sample118,100.0
Sample119,60.0
Sample120,80.0
Sample121,100.0
Sample122,80.0
Sample123,60.0
Sample124,60.0
Sample125,80.0
Sample126,100.0
Sample127,100.0
Sample128,80.0
Sample129,100.0
Sample130,100.0
Sample131,80.0
Sample132,80.0
Sample133,80.0
Sample134,60.0
Sample135,100.0
Sample136,60.0
Sample137,100.0
Sample138,60.0
Sample139,80.0
Sample140,100.0
Sample141,100.0
Sample142,80.0
Sample143,100.0
Sample144,100.0
Sample145,100.0
Sample146,100.0
Sample147,100.0
Sample148,100.0
Sample149,100.0
Sample150,80.0
Sample151,100.0
Sample152,100.0
Sample153,60.0
Sample154,60.0
Sample155,100.0
Sample156,80.0
Sample157,100.0
Sample158,80.0
Sample159,80.0
Sample160,80.0
Sample161,100.0
Sample162,100.0
Sample163,100.0
Sample164,80.0
Sample165,100.0
Sample166,80.0
Sample167,100.0
Sample168,60.0
Sample169,100.0
Sample170,60.0
Sample171,80.0
Sample172,60.0
Sample173,100.0
Sample174,80.0
Sample175,60.0
Sample176,100.0
Sample177,100.0
Sample178,100.0
Sample179,40.0
Sample180,20.0
Sample181,100.0
Sample182,100.0
Sample183,80.0
Sample184,100.0
Sample185,100.0
Sample186,100.0
Sample187,60.0
Sample188,60.0
Sample189,80.0
Sample190,80.0
Sample191,60.0
Sample192,100.0
Sample193,100.0
Sample194,80.0
Sample195,100.0
Sample196,80.0
Sample197,80.0
Sample198,100.0
Sample199,80.0
Sample200,100.0
Sample201,80.0
Sample202,80.0
