,precision,recall,f1-score,support
Sample001,0.8,0.8,0.8000000000000002,5.0
Sample002,0.7142857142857143,1.0,0.8333333333333333,5.0
Sample003,1.0,0.8,0.888888888888889,5.0
Sample004,0.8,0.8,0.8000000000000002,5.0
Sample005,0.8333333333333334,1.0,0.9090909090909091,5.0
Sample006,1.0,1.0,1.0,5.0
Sample007,0.7142857142857143,1.0,0.8333333333333333,5.0
Sample008,0.75,0.6,0.6666666666666665,5.0
Sample009,0.6666666666666666,0.8,0.7272727272727272,5.0
Sample010,0.45454545454545453,1.0,0.625,5.0
Sample011,0.4166666666666667,1.0,0.5882352941176471,5.0
Sample012,0.6666666666666666,0.8,0.7272727272727272,5.0
Sample013,1.0,1.0,1.0,5.0
Sample014,0.625,1.0,0.7692307692307693,5.0
Sample015,0.8333333333333334,1.0,0.9090909090909091,5.0
Sample016,0.625,1.0,0.7692307692307693,5.0
Sample017,1.0,1.0,1.0,5.0
Sample018,1.0,0.6,0.7499999999999999,5.0
Sample019,1.0,1.0,1.0,5.0
Sample020,1.0,0.6,0.7499999999999999,5.0
Sample021,1.0,0.8,0.888888888888889,5.0
Sample022,0.7142857142857143,1.0,0.8333333333333333,5.0
Sample023,1.0,1.0,1.0,5.0
Sample024,0.8,0.8,0.8000000000000002,5.0
Sample025,1.0,0.8,0.888888888888889,5.0
Sample026,0.8333333333333334,1.0,0.9090909090909091,5.0
Sample027,0.6666666666666666,0.8,0.7272727272727272,5.0
Sample028,1.0,0.8,0.888888888888889,5.0
Sample029,0.625,1.0,0.7692307692307693,5.0
Sample030,0.7142857142857143,1.0,0.8333333333333333,5.0
Sample031,0.8333333333333334,1.0,0.9090909090909091,5.0
Sample032,1.0,0.8,0.888888888888889,5.0
Sample033,1.0,1.0,1.0,5.0
Sample034,0.75,0.6,0.6666666666666665,5.0
Sample035,1.0,0.6,0.7499999999999999,5.0
Sample036,1.0,1.0,1.0,5.0
Sample037,0.7142857142857143,1.0,0.8333333333333333,5.0
Sample038,0.5,0.4,0.4444444444444445,5.0
Sample039,1.0,1.0,1.0,5.0
Sample040,1.0,0.8,0.888888888888889,5.0
Sample041,1.0,1.0,1.0,5.0
Sample042,1.0,0.8,0.888888888888889,5.0
Sample043,1.0,1.0,1.0,5.0
Sample044,0.7142857142857143,1.0,0.8333333333333333,5.0
Sample045,1.0,0.4,0.5714285714285715,5.0
Sample046,0.7142857142857143,1.0,0.8333333333333333,5.0
Sample047,1.0,0.8,0.888888888888889,5.0
Sample048,0.5,1.0,0.6666666666666666,5.0
Sample049,1.0,1.0,1.0,5.0
Sample050,1.0,0.8,0.888888888888889,5.0
Sample051,1.0,1.0,1.0,5.0
Sample052,1.0,0.8,0.888888888888889,5.0
Sample053,1.0,1.0,1.0,5.0
Sample054,1.0,1.0,1.0,5.0
Sample055,1.0,1.0,1.0,5.0
Sample056,0.8333333333333334,1.0,0.9090909090909091,5.0
Sample057,1.0,0.8,0.888888888888889,5.0
Sample058,1.0,1.0,1.0,5.0
Sample059,1.0,1.0,1.0,5.0
Sample060,1.0,1.0,1.0,5.0
Sample061,0.8333333333333334,1.0,0.9090909090909091,5.0
Sample062,1.0,1.0,1.0,5.0
Sample063,1.0,0.8,0.888888888888889,5.0
Sample064,1.0,1.0,1.0,5.0
Sample065,1.0,1.0,1.0,5.0
Sample066,1.0,1.0,1.0,5.0
Sample067,1.0,1.0,1.0,5.0
Sample068,0.5,0.6,0.5454545454545454,5.0
Sample069,0.6,0.6,0.6,5.0
Sample070,1.0,0.8,0.888888888888889,5.0
Sample071,1.0,1.0,1.0,5.0
Sample072,0.5,0.8,0.6153846153846154,5.0
Sample073,0.4444444444444444,0.8,0.5714285714285714,5.0
Sample074,0.625,1.0,0.7692307692307693,5.0
Sample075,0.5555555555555556,1.0,0.7142857142857143,5.0
Sample076,1.0,0.8,0.888888888888889,5.0
Sample077,0.8333333333333334,1.0,0.9090909090909091,5.0
Sample078,0.7142857142857143,1.0,0.8333333333333333,5.0
Sample079,0.6666666666666666,0.8,0.7272727272727272,5.0
Sample080,0.4166666666666667,1.0,0.5882352941176471,5.0
Sample081,0.7142857142857143,1.0,0.8333333333333333,5.0
Sample082,0.7142857142857143,1.0,0.8333333333333333,5.0
Sample083,1.0,0.8,0.888888888888889,5.0
Sample084,1.0,0.8,0.888888888888889,5.0
Sample085,1.0,0.8,0.888888888888889,5.0
Sample086,1.0,1.0,1.0,5.0
Sample087,0.5,0.8,0.6153846153846154,5.0
Sample088,0.5555555555555556,1.0,0.7142857142857143,5.0
Sample089,1.0,0.6,0.7499999999999999,5.0
Sample090,0.8333333333333334,1.0,0.9090909090909091,5.0
Sample091,1.0,1.0,1.0,5.0
Sample092,0.8333333333333334,1.0,0.9090909090909091,5.0
Sample093,1.0,1.0,1.0,5.0
Sample094,0.8,0.8,0.8000000000000002,5.0
Sample095,0.7142857142857143,1.0,0.8333333333333333,5.0
Sample096,1.0,0.8,0.888888888888889,5.0
Sample097,1.0,1.0,1.0,5.0
Sample098,1.0,1.0,1.0,5.0
Sample099,1.0,1.0,1.0,5.0
Sample100,1.0,1.0,1.0,5.0
Sample101,1.0,1.0,1.0,5.0
Sample102,1.0,0.4,0.5714285714285715,5.0
Sample103,0.5,1.0,0.6666666666666666,5.0
Sample104,0.8,0.8,0.8000000000000002,5.0
Sample105,0.625,1.0,0.7692307692307693,5.0
Sample106,1.0,0.8,0.888888888888889,5.0
Sample107,0.8,0.8,0.8000000000000002,5.0
Sample108,0.8,0.8,0.8000000000000002,5.0
Sample109,1.0,0.8,0.888888888888889,5.0
Sample110,0.8,0.8,0.8000000000000002,5.0
Sample111,1.0,0.8,0.888888888888889,5.0
Sample112,0.8,0.8,0.8000000000000002,5.0
Sample113,1.0,0.8,0.888888888888889,5.0
Sample114,0.4,0.8,0.5333333333333333,5.0
Sample115,0.8,0.8,0.8000000000000002,5.0
Sample116,0.5714285714285714,0.8,0.6666666666666666,5.0
Sample117,0.8333333333333334,1.0,0.9090909090909091,5.0
Sample118,0.8333333333333334,1.0,0.9090909090909091,5.0
Sample119,1.0,0.6,0.7499999999999999,5.0
Sample120,0.8,0.8,0.8000000000000002,5.0
Sample121,1.0,1.0,1.0,5.0
Sample122,0.8,0.8,0.8000000000000002,5.0
Sample123,1.0,0.6,0.7499999999999999,5.0
Sample124,1.0,0.6,0.7499999999999999,5.0
Sample125,0.6666666666666666,0.8,0.7272727272727272,5.0
Sample126,1.0,1.0,1.0,5.0
Sample127,1.0,1.0,1.0,5.0
Sample128,1.0,0.8,0.888888888888889,5.0
Sample129,0.8333333333333334,1.0,0.9090909090909091,5.0
Sample130,1.0,1.0,1.0,5.0
Sample131,1.0,0.8,0.888888888888889,5.0
Sample132,1.0,0.8,0.888888888888889,5.0
Sample133,1.0,0.8,0.888888888888889,5.0
Sample134,1.0,0.6,0.7499999999999999,5.0
Sample135,1.0,1.0,1.0,5.0
Sample136,1.0,0.6,0.7499999999999999,5.0
Sample137,0.8333333333333334,1.0,0.9090909090909091,5.0
Sample138,0.75,0.6,0.6666666666666665,5.0
Sample139,0.6666666666666666,0.8,0.7272727272727272,5.0
Sample140,0.7142857142857143,1.0,0.8333333333333333,5.0
Sample141,1.0,1.0,1.0,5.0
Sample142,1.0,0.8,0.888888888888889,5.0
Sample143,1.0,1.0,1.0,5.0
Sample144,1.0,1.0,1.0,5.0
Sample145,0.8333333333333334,1.0,0.9090909090909091,5.0
Sample146,0.625,1.0,0.7692307692307693,5.0
Sample147,1.0,1.0,1.0,5.0
Sample148,0.8333333333333334,1.0,0.9090909090909091,5.0
Sample149,1.0,1.0,1.0,5.0
Sample150,0.8,0.8,0.8000000000000002,5.0
Sample151,1.0,1.0,1.0,5.0
Sample152,1.0,1.0,1.0,5.0
Sample153,0.5,0.6,0.5454545454545454,5.0
Sample154,1.0,0.6,0.7499999999999999,5.0
Sample155,0.8333333333333334,1.0,0.9090909090909091,5.0
Sample156,1.0,0.8,0.888888888888889,5.0
Sample157,1.0,1.0,1.0,5.0
Sample158,1.0,0.8,0.888888888888889,5.0
Sample159,1.0,0.8,0.888888888888889,5.0
Sample160,1.0,0.8,0.888888888888889,5.0
Sample161,0.8333333333333334,1.0,0.9090909090909091,5.0
Sample162,1.0,1.0,1.0,5.0
Sample163,1.0,1.0,1.0,5.0
Sample164,1.0,0.8,0.888888888888889,5.0
Sample165,1.0,1.0,1.0,5.0
Sample166,1.0,0.8,0.888888888888889,5.0
Sample167,0.7142857142857143,1.0,0.8333333333333333,5.0
Sample168,1.0,0.6,0.7499999999999999,5.0
Sample169,1.0,1.0,1.0,5.0
Sample170,1.0,0.6,0.7499999999999999,5.0
Sample171,1.0,0.8,0.888888888888889,5.0
Sample172,1.0,0.6,0.7499999999999999,5.0
Sample173,0.625,1.0,0.7692307692307693,5.0
Sample174,0.5714285714285714,0.8,0.6666666666666666,5.0
Sample175,0.75,0.6,0.6666666666666665,5.0
Sample176,1.0,1.0,1.0,5.0
